Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
AlanPatrick,Lightweight,,0,0,0,0,55.8,455,23,455,816,0,,1,,,,,,,,,,,,,,,,,Active,,,41.0,"5' 11""",156 lbs,,,"74""",Chute Boxe,,,,,
Alatengheili,Bantamweight,,0,0,0,0,39.3,494,14,494,1257,0,,1,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 5""",136 lbs,,,"66""",Fight Ready,,,,,
Alberta CerraLeon,Open Weight,,0,0,0,0,81.8,9,0,9,11,0,,0,,,,,,,,,,,,,,,,,Active,,,,,238 lbs,,,,,,,,,
AlbertoCrane,,,0,0,0,0,50.0,26,0,26,52,0,,1,,,,,,,,,,,,,,,,,Active,,,48.0,"5' 5""",155 lbs,,,,,,,,,
AlbertoMina,Welterweight,,0,0,0,0,42.7,165,5,165,386,0,,3,,,,,,,,,,,,,,,,,Active,,,43.0,"6' 0""",170 lbs,,,"77.5""",Epic MMA,,,,,
AlbertoMontes,Featherweight,,0,0,0,0,65.5,38,0,38,58,0,,0,,,,,,,,,,,,,,,,,Active,,,31.0,"5' 7""",145 lbs,,,"69""",The Goat Shed,,,,,
Alberto EmilianoPereira,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40.0,"6' 3""",185 lbs,,,,,,,,,
AlbertCheng,Welterweight,,0,0,0,0,41.7,5,0,5,12,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 11""",170 lbs,,,,,,,,,
AlbertDuraev,Middleweight,,0,0,0,0,53.8,350,7,350,650,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 11""",186 lbs,,,"75""",Xtreme Couture,,,,,
AlbertMorales,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34.0,"5' 9""",135 lbs,,,"72""",Systems Training Center,,,,,
AlbertTumenov,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 11""",170 lbs,,,"73""",American Top Team,,,,,
AlejandroFlores,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33.0,"5' 9""",146 lbs,,,"74""",Valle Flow Striking,,,,,
AlejandroPerez,Bantamweight,,0,0,0,0,42.3,647,5,647,1529,0,,1,,,,,,,,,,,,,,,,,Active,,,35.0,"5' 6""",144 lbs,,,"67""",AKA (American Kickboxing Academy),,,,,
AleksandarRakic,Light Heavyweight,,0,0,0,0,62.3,829,5,829,1331,0,,4,,,,,,,,,,,,,,,,,Active,,,33.0,"6' 4""",206 lbs,,,"78""",American Top Team Zagreb,,,,,
AleksandreTopuria,Bantamweight,,0,0,0,0,59.1,65,1,65,110,0,,0,,,,,,,,,,,,,,,,,Active,,,29.0,"5' 7""",135 lbs,,,"68""",Climent Club,,,,,
AleksaCamur,Light Heavyweight,,0,0,0,0,63.5,417,2,417,657,0,,1,,,,,,,,,,,,,,,,,Active,,,29.0,"6' 1""",205 lbs,,,"74""",Strong Style Fight Team,,,,,
AlekseiKunchenko,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41.0,"5' 8""",170 lbs,,,"72""",Boets MMA,,,,,
AlekseiOleinik,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,48.0,"6' 2""",254 lbs,,,"80""",American Top Team,,,,,
AlenAmedovski,Middleweight,,0,0,0,0,30.3,20,0,20,66,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 10""",185 lbs,,,"74""",Xtreme Couture,,,,,
AlessandroCosta,Flyweight,,0,0,0,0,52.6,301,1,301,572,0,,3,,,,,,,,,,,,,,,,,Active,,,29.0,"5' 4""",125 lbs,,,"67""",Brazilian Warriors BJJ,,,,,
AlessandroRicci,Lightweight,,0,0,0,0,58.8,104,0,104,177,0,,0,,,,,,,,,,,,,,,,,Active,,,42.0,"5' 11""",155 lbs,,,"69""",,,,,,
AlessioDi Chirico,Middleweight,,0,0,0,0,44.3,462,11,462,1044,0,,3,,,,,,,,,,,,,,,,,Active,,,35.0,"6' 0""",186 lbs,,,"74""",Gloria Fight Center,,,,,
