Name,Division_Title,Division_Record,Status,Age,Height,Weight,Reach,Leg_Reach,Octagon_Reach,Trains_at,Fighting_Style,Total_Fights,Wins,Losses,Draws,Win_Percentage,Title_Defenses,Former_Champion,Fight_Win_Streak,Octagon_Debut,Wins_by_KO_TKO,Wins_by_SUB,Wins_by_DEC,First_Round_Wins,Sig_Strikes_Landed,Sig_Strikes_Attempted,Striking_Accuracy,Striking_Defense,Sig_Strikes_Landed_Per_Min,Sig_Strikes_Absorbed_Per_Min,Average_Sig_Strikes,Sig_Strikes_Head_Pct,Sig_Strikes_Body_Pct,Sig_Strikes_Leg_Pct,Takedowns_Landed,Takedowns_Attempted,Takedown_Accuracy,Takedown_Defense,Takedown_Avg_Per_15_Min,Submissions,Submission_Avg_Per_15_Min,Knockdowns,Knockdown_Avg,Average_Fight_Time,Control_Time,Event_1_Headline,Event_1_Date,Event_1_Result,Event_1_Time,Event_1_Method,Event_2_Headline,Event_2_Date,Event_2_Result,Event_2_Time,Event_2_Method,Event_3_Headline,Event_3_Date,Event_3_Result,Event_3_Time,Event_3_Method,Country,Place_of_Birth,Nickname,Stance,Birth_Date,Team,KO_TKO_Wins,Submission_Wins,Decision_Wins,Total_Control_Time,Total_Advancements,Total_Reversals,Total_Slams,Distance_Strikes,Clinch_Strikes,Ground_Strikes,Head_Strikes,Body_Strikes,Leg_Strikes,UFC_Debut_Date,Title_Fight_Record,Main_Event_Record,Fight_of_Night_Awards,Performance_of_Night_Awards
ShaneRoller,Lightweight Division,nan-nan,Active,45.0,"5' 10""",155 lbs,"72""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,192,425,45.2,54.8,192.0,,,,,,5,0,0,0,75.0,0,0.0,1,15.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaneYoung,Featherweight Division,nan-nan,Active,31.0,"5' 8""",149 lbs,"72.5""",,,City Kickboxing,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,402,950,42.3,57.7,402.0,,,,,,3,0,0,0,45.0,0,0.0,1,15.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShangZhifa,Flyweight Division,nan-nan,Active,39.0,"5' 7""",125 lbs,"63""",,,Longyun MMA Gym,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShannaYoung,Women's Bantamweight Division,nan-nan,Active,34.0,"5' 7""",126 lbs,"67""",,,Syndicate MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShannonGugerty,Lightweight Division,nan-nan,Active,43.0,"5' 10""",155 lbs,"71""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShannonRoss,nan Division,nan-nan,Active,,,,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SharaMagomedov,Middleweight Division,nan-nan,Active,31.0,"6' 2""",186 lbs,"73""",,,GOR MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,673,982,68.5,31.5,673.0,,,,,,0,0,0,0,0.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaunaBannon,Women's Strawweight Division,nan-nan,Active,31.0,"5' 5""",116 lbs,"65""",,,Holohan Martial Arts,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,339,592,57.3,42.7,339.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaunEtchell,Flyweight Division,nan-nan,Active,31.0,"5' 7""",125 lbs,"68""",,,Launceston Boxing & MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShavkatRakhmonov,Welterweight Division,nan-nan,Active,30.0,"6' 1""",171 lbs,"77""",,,Kill Cliff FC,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,426,611,69.7,30.3,426.0,,,,,,7,0,0,0,105.0,0,0.0,1,15.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
