Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
Alexander Gustafsson,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,38,"6' 5""",205 lbs,,,"79""",Allstars Training Center,,,,,
Alexander Hernandez,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,32,"5' 9""",156 lbs,,,"72""",Mile High Militia,,,,,
Alexander Morgan,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34,"5' 10""",144 lbs,,,"71""",TriStar Gym,,,,,
Alexander Munoz,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"5' 9""",156 lbs,,,"72""",Team Alpha Male,,,,,
Alexander Poppeck,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"6' 2""",205 lbs,,,,Munich MMA,,,,,
Alexander Soldatkin,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,32,"6' 2""",246 lbs,,,"75""",Spitfire Gym,,,,,
Alexander Volkanovski,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36,"5' 6""",145 lbs,,,"71.5""",City Kickboxing,,,,,
Alexander Volkov,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36,"6' 7""",254 lbs,,,"80""",Strela Team,,,,,
Alexander Yakovlev,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40,"6' 3""",155 lbs,,,"74""",K Dojo,,,,,
Alexandra Albu,Women's Strawweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34,"5' 2""",115 lbs,,,"63""",MMA-KEGI,,,,,
Alexandre Barros,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 9""",170 lbs,,,,,,,,,
Alexandre Dantas,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
Alexandre Ferreira,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,46,"5' 7""",205 lbs,,,,Chute Boxe,,,,,
Alexandre Nogueira,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
Alexandre Pantoja,Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"5' 5""",125 lbs,,,"67.5""",American Top Team,,,,,
Alexandr Romanov,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34,"6' 2""",261 lbs,,,"75""",Lion Club,,,,,
Alexa Grasso,Women's Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,31,"5' 5""",126 lbs,,,"66""",Lobo Gym MMA,,,,,
Alexia Thainara,Women's Strawweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,29,"5' 4""",116 lbs,,,"67""",Ribas Family,,,,,
Alexis Davis,Women's Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40,"5' 6""",135 lbs,,,"68""",Combat Sports Academy,,,,,
Alexis Dufresne,Women's Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34,"5' 9""",145 lbs,,,"68.5""",Team Quest -Portland,,,,,
Alex Andrade,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
Alex Caceres,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37,"5' 10""",145 lbs,,,"73.5""",MMA LAB,,,,,
Alex Chambers,Women's Strawweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,46,"5' 3""",115 lbs,,,"63""",American Top Team,,,,,
Alex da Silva,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,29,"5' 8""",155 lbs,,,"73""",Astra Fight Team,,,,,
Alex Enlund,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,38,"5' 9""",145 lbs,,,,Nevt,,,,,
Alex Gilpin,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"5' 7""",145 lbs,,,,Chosen Few Gym,,,,,
Alex Gorgees,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,29,"6' 2""",155 lbs,,,"74""",Australian Top Team,,,,,
Alex Hunter,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,
Alex Karalexis,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,47,"5' 8""",155 lbs,,,"66""",Team Sityodtong,,,,,
Alex Morono,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34,"5' 11""",171 lbs,,,"72""",Fortis MMA,,,,,
Alex Nicholson,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"6' 4""",226 lbs,,,"81""",UFC Gym Winter Springs,,,,,
Alex Oliveira,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37,"5' 11""",170 lbs,,,"76""",ATS Team Tres Rios,,,,,
Alex Pereira,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,38,"6' 4""",205 lbs,,,"79""",Teixeira MMA & Fitness,,,,,
Alex Perez,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"5' 6""",126 lbs,,,"65.5""",Team Oyama,,,,,
Alex Reyes,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,38,"5' 11""",156 lbs,,,"73""",Drysdale Jiu-Jitsu,,,,,
Alex Schoenauer,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"6' 3""",185 lbs,,,,,,,,,
Alex Serdyukov,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,45,"6' 2""",170 lbs,,,"74""",,,,,,
