Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion,Division_Title,Division_Record,Sig_Str_Landed_Per_Min,Sig_Str_Absorbed_Per_Min,Takedown_Avg_Per_15_Min,Submission_Avg_Per_15_Min,Sig_Str_Defense,Takedown_Defense,Knockdown_Avg,Average_Fight_Time,Win_by_KO_TKO,Win_by_DEC,Win_by_SUB,Sig_Str_Head_Pct,Sig_Str_Body_Pct,Sig_Str_Leg_Pct,Fight_Win_Streak,Title_Defenses,Former_Champion,Octagon_Debut,Fighting_Style
AislingDaly,Women's Strawweight,,0,0,0,0,71.3,268,5,268,376,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 3""",115 lbs,,,"64""",,,,,,,Women's Strawweight Division,nan-nan,268.0,,75.0,0.0,28.7,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AJCunningham,Bantamweight,,0,0,0,0,29.7,124,0,124,417,0,,0,,,,,,,,,,,,,,,,,Active,,,30.0,"5' 10""",136 lbs,,,"71""",Law School MMA,,,,,,Bantamweight Division,nan-nan,124.0,,0.0,0.0,70.3,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AJDobson,Middleweight,,0,0,0,0,50.9,299,6,299,587,0,,1,,,,,,,,,,,,,,,,,Active,,,33.0,"6' 1""",185 lbs,,,"76""",Carlson Gracie Team Ohio,,,,,,Middleweight Division,nan-nan,299.0,,90.0,0.0,49.1,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AJFletcher,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,28.0,"5' 10""",170 lbs,,,"67""",Gladiators Academy Of Lafayette,,,,,,Welterweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AkbarhArreola,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42.0,"5' 10""",155 lbs,,,"71""",Entram Gym,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AkihiroGono,,,0,0,0,0,59.2,151,6,151,255,0,,1,,,,,,,,,,,,,,,,,Active,,,50.0,"5' 9""",170 lbs,,,"68""",,,,,,,nan Division,nan-nan,151.0,,90.0,0.0,40.8,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AkiraCorassani,Featherweight,,0,0,0,0,47.8,155,2,155,324,0,,0,,,,,,,,,,,,,,,,,Active,,,42.0,"5' 8""",145 lbs,,,"68""",Renzo Gracie Jiu-Jitsu,,,,,,Featherweight Division,nan-nan,155.0,,30.0,0.0,52.2,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AkitoshiTamura,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,"70""",,,,,,,nan Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AlanBaudot,Light Heavyweight,,0,0,0,0,62.3,195,0,195,313,0,,1,,,,,,,,,,,,,,,,,Active,,,37.0,"6' 3""",253 lbs,,,"79""",MMA Factory,,,,,,Light Heavyweight Division,nan-nan,195.0,,0.0,0.0,37.7,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AlanBelcher,Middleweight,,0,0,0,0,49.3,513,4,513,1041,0,,3,,,,,,,,,,,,,,,,,Active,,,41.0,"6' 2""",185 lbs,,,"75""",Remix MMA,,,,,,Middleweight Division,nan-nan,513.0,,60.0,0.0,50.7,0,45.0,0,,,,,,,0,0,No,,Mixed Martial Arts
