Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
Dong Hyun Kim,Welterweight,22-4-1,9,2,0,22,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Korea,Southpaw,43,"6' 2""",170 lbs,,,"76""",Busan Team M.A.D.,,,,,
Dong Hyun Ma,Lightweight,16-11-3,7,5,0,16,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,South Korea,Orthodox,36,"5' 11""",155 lbs,,,"70.5""",Busan Team M.A.D.,,,,,
Donnie Chappell,Lightweight,0-1-0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Southpaw,,,,,,,,,,,,
Donny Walker,,1-6-0,1,0,0,1,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,--,45,"5' 9""",135 lbs,,,,,,,,,
Don Frye,Heavyweight,13-6-0,7,4,0,13,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,59,"6' 1""",210 lbs,,,,,,,,,
Don Madge,Lightweight,11-5-1,5,5,0,11,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,South Africa,Southpaw,34,"6' 0""",155 lbs,,,"72""",Fight Fit Militia,,,,,
Don Shainis,Featherweight,15-6-0,8,3,0,15,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,34,"5' 6""",146 lbs,,,"67""",Citadel Martial Arts,,,,,
Dooho Choi,Featherweight,16-4-1,13,1,0,16,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Korea,Orthodox,34,"5' 10""",146 lbs,,,"70""",Busan Team M.A.D.,,,,,
Dorian Price,Welterweight,0-1-0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Southpaw,,,,,,,,,,,,
Douglas Silva de Andrade,Bantamweight,29-6-0,20,2,0,29,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Brazil,Orthodox,40,"5' 7""",136 lbs,,,"68.5""",Corinthians MMA,,,,,
Doug Evans,,0-5-0,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,,,,,,,,,,,,
Doug Marshall,Light Heavyweight,18-8-0,12,4,0,18,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Orthodox,49,"5' 10""",185 lbs,,,,,,,,,
Drakkar Klose,Lightweight,15-3-1,6,0,0,15,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,37,"5' 9""",156 lbs,,,"70""",MMA LAB,,,,,
Drako Rodriguez,Bantamweight,7-4-0,2,4,0,7,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,29,"5' 8""",136 lbs,,,"69""",Red's Boxing Club,,,,,
Drew Dober,Lightweight,27-15-0,15,5,0,27,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Southpaw,36,"5' 8""",155 lbs,,,"70""",Elevation Fight Team,,,,,
Drew Fickett,Welterweight,13-15-0,0,10,0,13,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,45,"5' 10""",155 lbs,,,"70""",,,,,,
Drew McFedries,Middleweight,10-7-0,8,1,0,10,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,Southpaw,46,"6' 0""",185 lbs,,,"72""",Champions Gym,,,,,
Dricus Du Plessis,Middleweight,23-2-0,9,11,0,23,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,South Africa,Switch,31,"6' 1""",185 lbs,,,"76""",CIT Performance Institute,,,,,
