Player,Date,Opponent,Event,Result,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC
RobertWhittaker,"Dec 9, 2011",Ian Bone,CFC 19,W,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"Oct 30, 2011",Hoon Kim,LFC,L,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"Aug 26, 2011",Corey Nelson,CFC 18,W,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"Jun 3, 2011",Ben Alloway,CFC,W,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"Oct 8, 2010",Nate Thomson,CFC,W,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"Jun 5, 2010",Jay Cobain,CFC,W,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"Mar 12, 2010",Nick Ariel,CFC 12,W,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"Nov 20, 2009",Richard Walsh,CFC,W,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"Mar 14, 2009",Chris Tallowin,XFC,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Jul 26, 2025",Marc-Andre Barriault,UFC Fight Night,W,12,14,18,25,0,0,0,0.000,0,1,0,0%
SharaMagomedov,"Feb 1, 2025",Michael Page,UFC Fight Night,L,4,5,0,0,0,0,0,0.000,0,0,0,0%
SharaMagomedov,"Oct 26, 2024",Armen Petrosyan,UFC 308,W,1,1,1,1,0,0,0,0.000,0,0,0,0%
SharaMagomedov,"Aug 3, 2024",Michal Oleksiejczuk,UFC Fight Night,W,4,9,4,6,0,0,0,0.000,0,0,0,0%
SharaMagomedov,"Jun 22, 2024",Antonio Trocoli,UFC Fight Night,W,6,6,7,8,0,0,0,0.000,0,0,0,0%
SharaMagomedov,"Oct 21, 2023",Bruno Silva,UFC 294,W,4,4,11,17,0,0,0,0.000,0,0,0,0%
SharaMagomedov,"Dec 11, 2022",Kushal Vyas,Bangla Fights,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Dec 3, 2022",Mikhail Ragozin,Russian Cagefighting Championship 13,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Aug 13, 2022",Sergey Martynov,RCC - Intro 22,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Feb 26, 2022",Rodrigo Carlos,Arena Global,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Nov 27, 2021",Joel dos Santos,AMC - Fight Nights 106,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Oct 16, 2021",Mikhail Allakhverdian,AMC Fight Nights - Mineev vs. Ismailov 2,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Jul 15, 2021",Yakub Kediev,AMC - Fight Nights 103,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Mar 11, 2018",Wulan Muhemaitihali,CWM MMA,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Feb 19, 2018",Yeshan Yersen,The King FC - The King Fighting Championship,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Jan 21, 2018",Jiayidaer Aili,CWM MMA,W,-,-,-,-,-,-,-,-,-,-,-,-
SharaMagomedov,"Dec 10, 2017",Bao Yincang,CWM MMA,W,-,-,-,-,-,-,-,-,-,-,-,-
